19.851; 59.655; 174.563
20.187; 59.555; 156.994
20.524; 59.124; 141.458
20.860; 58.393; 128.300
21.197; 57.386; 117.990
21.533; 56.152; 111.221
21.870; 54.835; 108.843
22.206; 53.735; 111.090
22.543; 53.181; 116.151
22.879; 53.134; 120.805
23.215; 53.191; 123.701
23.552; 53.032; 126.185
23.888; 52.682; 130.600
24.225; 52.531; 138.021
24.561; 52.969; 146.026
24.898; 53.801; 150.900
25.234; 54.482; 152.067
25.571; 54.675; 151.574
25.907; 54.339; 152.167
26.244; 53.746; 156.317
26.580; 53.473; 164.282
26.917; 53.887; 172.286
27.253; 54.619; 176.675
27.589; 55.123; 177.888
27.926; 55.192; 178.488
28.262; 54.966; -178.976
28.599; 54.878; -173.497
28.935; 55.342; -167.193
29.272; 56.268; -163.481
29.608; 57.244; -163.304
29.945; 58.008; -165.427
30.281; 58.539; -168.342
30.618; 58.944; -171.182
30.954; 59.355; -173.961
31.290; 59.810; -177.284
31.627; 60.230; 178.390
31.963; 60.478; 173.308
32.300; 60.450; 168.503
32.636; 60.157; 165.632
32.973; 59.832; 166.478
33.309; 59.994; 171.118
33.646; 61.018; 175.847
33.982; 62.582; 176.529
34.319; 64.113; 172.709
34.655; 65.286; 166.026
34.991; 65.999; 158.264
35.328; 66.262; 150.975
35.664; 66.172; 145.576
36.001; 65.951; 143.182
36.337; 65.947; 143.760
36.674; 66.431; 145.298
37.010; 67.321; 145.165
37.347; 68.308; 142.399
37.683; 69.159; 137.647
38.020; 69.796; 131.989
38.356; 70.244; 126.291
38.692; 70.572; 121.010
39.029; 70.849; 116.220
39.365; 71.106; 111.797
39.702; 71.336; 107.708
40.038; 71.535; 104.153
40.375; 71.738; 101.449
40.711; 72.030; 99.666
41.048; 72.497; 98.318
41.384; 73.136; 96.532
41.721; 73.843; 93.687
42.057; 74.479; 89.826
42.393; 74.954; 85.537
42.730; 75.254; 81.612
43.066; 75.449; 78.702
43.403; 75.663; 76.968
43.739; 76.009; 75.889
44.076; 76.501; 74.547
44.412; 77.054; 72.290
44.749; 77.554; 69.079
45.085; 77.928; 65.326
45.422; 78.167; 61.555
45.758; 78.310; 58.145
46.095; 78.416; 55.209
46.431; 78.535; 52.603
46.767; 78.682; 50.084
47.104; 78.850; 47.489
47.440; 79.026; 44.803
47.777; 79.210; 42.084
48.113; 79.414; 39.355
48.450; 79.647; 36.563
48.786; 79.905; 33.636
49.123; 80.173; 30.569
49.459; 80.437; 27.460
49.796; 80.697; 24.460
50.132; 80.968; 21.672
50.468; 81.270; 19.084
50.805; 81.613; 16.572
51.141; 81.989; 13.978
51.478; 82.374; 11.205
51.814; 82.740; 8.261
52.151; 83.065; 5.238
52.487; 83.339; 2.264
52.824; 83.565; -0.535
53.160; 83.755; -3.069
53.497; 83.925; -5.306
53.833; 84.098; -7.292
54.169; 84.288; -9.153
54.506; 84.494; -11.056
54.842; 84.703; -13.127
55.179; 84.890; -15.381
55.515; 85.038; -17.704
55.852; 85.151; -19.909
56.188; 85.255; -21.847
56.525; 85.390; -23.528
56.861; 85.589; -25.155
57.198; 85.854; -27.035
57.534; 86.155; -29.401
57.870; 86.444; -32.283
58.207; 86.684; -35.513
58.543; 86.859; -38.821
58.880; 86.981; -41.954
59.216; 87.075; -44.762
59.553; 87.171; -47.239
59.889; 87.286; -49.492
60.226; 87.419; -51.658
60.562; 87.557; -53.816
60.899; 87.680; -55.944
61.235; 87.778; -57.932
61.572; 87.857; -59.631
61.908; 87.941; -60.938
62.244; 88.068; -61.877
62.581; 88.275; -62.662
62.917; 88.572; -63.664
63.254; 88.935; -65.264
63.590; 89.307; -67.681
63.927; 89.623; -70.888
64.263; 89.833; -74.638
64.600; 89.913; -78.549
64.936; 89.870; -82.207
65.273; 89.746; -85.274
65.609; 89.602; -87.594
65.945; 89.505; -89.275
66.282; 89.493; -90.653
66.618; 89.563; -92.107
66.955; 89.681; -93.858
67.291; 89.806; -95.907
67.628; 89.914; -98.105
67.964; 90.006; -100.294
68.301; 90.095; -102.403
68.637; 90.191; -104.461
68.974; 90.293; -106.548
69.310; 90.388; -108.702
69.646; 90.461; -110.877
69.983; 90.505; -112.958
70.319; 90.530; -114.826
70.656; 90.556; -116.438
70.992; 90.605; -117.867
71.329; 90.687; -119.274
71.665; 90.789; -120.820
72.002; 90.890; -122.571
72.338; 90.967; -124.475
72.675; 91.010; -126.395
73.011; 91.027; -128.187
73.347; 91.037; -129.779
73.684; 91.063; -131.205
74.020; 91.118; -132.585
74.357; 91.199; -134.053
